Date,Home Team,Score,Away Team
05-08-2022,Crystal Palace,0 - 2,Arsenal
13-08-2022,Arsenal,4 - 2,Leicester
20-08-2022,Bournemouth,0 - 3,Arsenal
27-08-2022,Arsenal,2 - 1,Fulham
31-08-2022,Arsenal,2 - 1,Aston Villa
