Date,Home Team,Score,Away Team
14-08-2022,Almeria,1 - 2,Real Madrid
22-08-2022,Elche,1 - 1,Almeria
27-08-2022,Almeria,2 - 1,Sevilla
05-09-2022,Valladolid,1 - 0,Almeria
12-09-2022,Almeria,0 - 1,Osasuna
